Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
383,Juwan Morgan,PF,24,TOR,1,0,27,2,3,0.667,1,2,0.5,1,1,1,0.833,0,0,,2,2,4,1,0,0,0,3,5
394,Svi Mykhailiuk,SF,24,TOR,42,5,15.5,2,4.9,0.405,0.8,2.7,0.31,1.1,2.2,0.522,0.49,0.6,0.8,0.844,0.5,1.6,2.1,1,0.6,0.1,0.7,1.1,5.4
422,Daniel Oturu,C,22,TOR,3,0,9,1,2,0.5,0,0.3,0,1,1.7,0.6,0.5,1,1.7,0.6,0.3,1.3,1.7,0,0,0.7,0,0.3,3
491,Pascal Siakam,PF,27,TOR,41,41,37.8,8.3,16.9,0.493,1.1,3.1,0.352,7.2,13.8,0.525,0.525,4,5.5,0.733,2.1,6.6,8.7,5.2,1.3,0.8,2.7,3.5,21.8
536,Gary Trent Jr.,SG,23,TOR,45,44,34.9,6.8,15.6,0.437,3.2,8,0.403,3.6,7.6,0.472,0.54,1.9,2.4,0.821,0.3,2.3,2.7,2,2,0.3,1,2.1,18.8
543,Fred VanVleet,PG,27,TOR,48,48,38.6,7.3,17.5,0.418,4,10,0.397,3.3,7.4,0.445,0.532,3,3.4,0.873,0.8,3.8,4.6,7.1,1.7,0.5,2.7,2.4,21.6
558,Yuta Watanabe,SF,27,TOR,24,4,15,1.8,4.4,0.4,0.9,2.5,0.356,0.9,1.9,0.457,0.5,0.6,1.1,0.538,0.6,2.3,2.9,0.6,0.3,0.5,0.7,1.3,5
578,D.J. Wilson,PF,25,TOR,3,1,16,2.7,3.7,0.727,0,0.7,0,2.7,3,0.889,0.727,2.7,3.3,0.8,0.3,4.3,4.7,1.3,1.7,0.3,0.7,1.7,8
22,Udoka Azubuike,C,22,UTA,13,5,11.5,1.8,2.6,0.676,0,0,,1.8,2.6,0.676,0.676,0.3,0.7,0.444,1,3,4,0,0.1,0.8,0.8,1.3,3.8
54,Bojan Bogdanović,PF,32,UTA,53,53,31,6.1,13.4,0.459,2.4,6.4,0.382,3.7,7,0.53,0.55,3.3,3.8,0.871,0.8,3.5,4.4,1.7,0.5,0,1.6,1.7,18
85,Jared Butler,SG,21,UTA,26,1,7.9,1.3,3.3,0.407,0.6,1.7,0.356,0.7,1.6,0.463,0.5,0.3,0.5,0.583,0.1,0.7,0.8,1.1,0.3,0.3,0.8,1,3.6
99,Zylan Cheatham,SF,26,UTA,1,0,5,0,3,0,0,2,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0
105,Jordan Clarkson,SG,29,UTA,52,1,26.6,5.6,14,0.401,2.6,8,0.321,3,6,0.508,0.492,1.7,2,0.819,0.8,2.6,3.4,2.4,0.7,0.3,1.7,1.9,15.5
111,Mike Conley,PG,34,UTA,49,49,28.5,5,11,0.449,2.5,5.8,0.425,2.5,5.2,0.477,0.561,2,2.3,0.835,0.6,2.4,3.1,5.2,1.2,0.3,1.7,1.8,14.3
165,Malik Fitts,PF,24,UTA,7,0,5,0.3,1.3,0.222,0.3,0.6,0.5,0,0.7,0,0.333,0,0,,0,1.4,1.4,0,0,0,0.3,0.4,0.9
169,Trent Forrest,PG,23,UTA,43,4,12,1.2,2.2,0.552,0.1,0.3,0.2,1.2,1.9,0.617,0.568,0.6,0.7,0.781,0.3,1.3,1.7,1.4,0.5,0.1,0.8,0.7,3.1
182,Rudy Gay,PF,35,UTA,35,1,20,3.1,7.3,0.418,1.4,4.1,0.34,1.7,3.2,0.518,0.514,1.4,1.8,0.79,1,3.6,4.6,1.1,0.6,0.3,0.9,1.9,8.9
189,Rudy Gobert,C,29,UTA,42,42,32.5,5.6,8,0.707,0,0,0,5.6,7.9,0.712,0.707,4.7,6.8,0.69,3.7,11.4,15.1,1.2,0.8,2.3,1.8,2.7,16
251,Elijah Hughes,SF,23,UTA,14,1,8,1.1,2.6,0.417,0.7,2,0.357,0.4,0.6,0.625,0.556,0.2,0.2,1,0.1,1.1,1.2,0.4,0.3,0.1,0.5,0.5,3.1
257,Joe Ingles,SF,34,UTA,45,15,24.9,2.6,6.3,0.404,1.7,5,0.347,0.8,1.3,0.617,0.54,0.4,0.5,0.773,0.3,2.6,2.9,3.5,0.5,0.1,1,1.8,7.2
375,Donovan Mitchell,SG,25,UTA,43,43,33.3,9.3,20.4,0.454,3.3,9.4,0.346,6,11,0.548,0.534,3.7,4.2,0.872,0.9,3.3,4.1,5.3,1.6,0.3,3,2.4,25.4
410,Royce O'Neale,SF,28,UTA,51,51,31.4,2.7,5.5,0.482,1.5,3.7,0.397,1.2,1.8,0.656,0.615,0.6,0.8,0.786,0.8,4.2,5,2.5,1.2,0.5,0.9,2.4,7.5
420,Miye Oni,SG,24,UTA,16,0,2.8,0.1,0.6,0.222,0.1,0.5,0.125,0.1,0.1,1,0.278,0,0.1,0,0.1,0.4,0.4,0.3,0,0,0.1,0.4,0.3
428,Eric Paschall,PF,25,UTA,41,1,13.3,2,4.1,0.485,0.8,2.1,0.372,1.2,2,0.605,0.581,1.1,1.5,0.754,0.6,1.5,2.1,0.6,0.1,0.1,0.6,1,5.9
433,Norvel Pelle,C,28,UTA,3,0,6.3,1,1.7,0.6,0,0,,1,1.7,0.6,0.6,0,0,,1,1,2,0,0,0.3,0.7,0.3,2
566,Hassan Whiteside,C,32,UTA,43,7,18.3,3.4,5.4,0.627,0,0,,3.4,5.4,0.627,0.627,1.7,2.6,0.655,2.3,5.1,7.4,0.4,0.3,1.5,0.9,3,8.5
19,Deni Avdija,SF,21,WAS,54,6,22.9,2.7,6.2,0.444,0.9,2.8,0.307,1.9,3.4,0.557,0.514,1.1,1.4,0.75,0.6,4.2,4.9,1.6,0.8,0.6,0.9,2.3,7.4
20,Joel Ayayi,SG,21,WAS,7,0,2.9,0.1,0.9,0.167,0,0.1,0,0.1,0.7,0.2,0.167,0,0,,0.1,0.3,0.4,0.6,0,0,0,0,0.3
40,Bradley Beal,SG,28,WAS,40,40,36,8.7,19.3,0.451,1.6,5.3,0.3,7.1,14,0.508,0.492,4.2,5.1,0.833,1,3.8,4.7,6.6,0.9,0.4,3.4,2.4,23.2
44,Dāvis Bertāns,PF,29,WAS,34,0,14.7,1.8,5,0.351,1.4,4.2,0.319,0.4,0.8,0.519,0.485,0.8,0.9,0.933,0.2,1.6,1.8,0.5,0.3,0.2,0.4,1.6,5.7
80,Thomas Bryant,C,24,WAS,12,5,16.3,2.8,5.9,0.479,0.7,1.9,0.348,2.2,4,0.542,0.535,1.1,1.4,0.765,1.2,2.4,3.6,0.8,0.3,0.6,0.7,1.7,7.4
88,Kentavious Caldwell-Pope,SG,28,WAS,51,51,29.3,4,10,0.404,1.9,5.2,0.369,2.1,4.8,0.441,0.499,1.3,1.5,0.893,0.5,3,3.4,1.7,1.1,0.4,1.2,1.7,11.3
137,Spencer Dinwiddie,PG,28,WAS,44,44,30.2,4.2,11.2,0.376,1.6,5.1,0.31,2.6,6,0.432,0.447,2.6,3.3,0.811,0.8,3.9,4.7,5.8,0.6,0.2,1.7,2.4,12.6
152,Jaime Echenique,C,24,WAS,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
175,Daniel Gafford,C,23,WAS,48,46,20.6,3.8,5.6,0.678,0,0,,3.8,5.6,0.678,0.678,1.4,1.8,0.756,2.3,3.8,6,1,0.4,1.5,0.9,2.4,8.9
187,Anthony Gill,PF,29,WAS,22,0,6.7,1.1,1.5,0.706,0.2,0.4,0.625,0.9,1.2,0.731,0.779,0.7,0.9,0.789,0.5,0.8,1.2,0.4,0.1,0.1,0.2,1.1,3.1
191,Jordan Goodwin,SG,23,WAS,2,0,3,0,1.5,0,0,0.5,0,0,1,0,0,0,0,,0,0.5,0.5,0,0,0,0,0.5,0
207,Rui Hachimura,PF,23,WAS,15,0,18.1,3.1,6.8,0.451,0.9,2.1,0.419,2.2,4.7,0.465,0.515,1.1,1.4,0.762,0.4,3.3,3.7,1.1,0.3,0.3,0.7,0.9,8.1
215,Montrezl Harrell,C,28,WAS,46,3,24.3,5.4,8.3,0.645,0.1,0.3,0.267,5.3,8,0.66,0.65,3.2,4.5,0.727,2.1,4.6,6.7,2.1,0.4,0.7,1.1,1.9,14.1
238,Aaron Holiday,PG,25,WAS,41,14,16.2,2.4,5.2,0.467,0.6,1.6,0.343,1.9,3.6,0.524,0.521,0.7,0.9,0.8,0.2,1.4,1.6,1.9,0.6,0.2,1,1.5,6.1
301,Corey Kispert,SF,22,WAS,49,8,18.8,2.3,5.4,0.422,1,3.1,0.313,1.3,2.3,0.566,0.511,0.7,0.8,0.878,0.7,1.8,2.5,0.9,0.3,0.2,0.4,0.9,6.2
312,Kyle Kuzma,PF,26,WAS,51,51,33,6,13.3,0.454,1.8,5.5,0.332,4.2,7.8,0.54,0.523,2.2,3.2,0.696,1.1,7.6,8.7,2.9,0.6,0.9,2.3,1.9,16.1
399,Raul Neto,PG,29,WAS,45,1,19.7,2.9,6.5,0.451,0.4,1.7,0.231,2.5,4.8,0.53,0.481,1.2,1.6,0.753,0.2,1.8,1.9,2.6,0.7,0,1.3,1.5,7.5
481,Jordan Schakel,SG,23,WAS,2,0,7,0,3,0,0,1.5,0,0,1.5,0,0,0,0,,1,0.5,1.5,0,0,0,0,0,0
512,Craig Sword,SG,28,WAS,3,0,6.3,1,1.3,0.75,0,0.3,0,1,1,1,0.75,0,0,,0,0,0,0.3,1.3,0,0.3,2.3,2
532,Isaiah Todd,PF,20,WAS,9,0,3.9,0.6,1.7,0.333,0.4,1.1,0.4,0.1,0.6,0.2,0.467,0.2,0.4,0.5,0.2,0.8,1,0.1,0.2,0.2,0.1,0.1,1.8
581,Cassius Winston,PG,23,WAS,3,0,5.7,0.7,1.7,0.4,0.3,1.3,0.25,0.3,0.3,1,0.5,0.7,0.7,1,0,0,0,1.3,0,0,0.3,1.3,2.3
