Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
158,Joel Embiid,C,27,PHI,42,42,33,9.6,19.3,0.498,1.3,3.6,0.358,8.3,15.7,0.53,0.531,8.9,11,0.812,2,8.9,10.9,4.3,1,1.4,2.9,2.6,29.4
197,Danny Green,SF,34,PHI,36,23,23.4,2.3,5.7,0.412,1.8,4.8,0.386,0.5,0.9,0.545,0.574,0.3,0.3,0.9,0.5,2,2.6,1,1.1,0.8,0.9,1.7,6.8
218,Tobias Harris,PF,29,PHI,45,45,35.4,7.4,15.2,0.488,1.2,3.5,0.346,6.2,11.7,0.53,0.528,3.1,3.6,0.853,1.1,6.2,7.3,3.8,0.6,0.6,1.8,2,19.1
227,Aaron Henry,SF,22,PHI,6,0,2.8,0.2,0.8,0.2,0,0.2,0,0.2,0.7,0.25,0.2,0,0,,0,0.2,0.2,0,0,0.3,0.3,0.3,0.3
271,Isaiah Joe,SG,22,PHI,38,1,12.9,1.3,3.6,0.355,0.9,2.8,0.33,0.4,0.8,0.438,0.482,0.5,0.6,0.952,0.1,1.1,1.2,0.7,0.3,0.1,0.3,1,4
298,Braxton Key,SF,24,PHI,2,0,3,0.5,1,0.5,0,0.5,0,0.5,0.5,1,0.5,0,0,,0.5,0.5,1,0.5,0.5,0,1,0.5,1
307,Furkan Korkmaz,SG,24,PHI,47,17,24,3.2,8.2,0.39,1.3,4.6,0.287,1.9,3.6,0.52,0.47,1.2,1.4,0.838,0.3,2.7,3,2.4,0.6,0.1,0.8,1,9
350,Tyrese Maxey,PG,21,PHI,47,46,35.8,6.4,13.5,0.471,1.4,3.5,0.398,5,10,0.497,0.523,2.7,3.1,0.871,0.4,3.2,3.6,4.8,0.7,0.6,1.2,2.1,16.9
373,Shake Milton,PG,25,PHI,27,6,24.7,4,9.4,0.429,0.9,2.9,0.316,3.1,6.5,0.48,0.478,1.5,1.8,0.854,0.5,2.5,3,2.8,0.7,0.4,1.1,2.1,10.5
401,Georges Niang,PF,28,PHI,50,5,23.1,3.4,7.7,0.438,2,4.9,0.402,1.4,2.8,0.5,0.565,0.8,0.9,0.864,0.4,2.3,2.6,1.5,0.4,0.2,0.9,2.6,9.5
449,Myles Powell,PG,24,PHI,11,0,4.7,0.5,1.5,0.294,0.1,0.5,0.167,0.4,1,0.364,0.324,0.2,0.2,1,0.1,0.5,0.5,0.3,0.1,0,0.3,0.7,1.2
462,Paul Reed,C,22,PHI,21,2,8.8,1,2,0.465,0,0.2,0,1,1.9,0.513,0.465,0.1,0.4,0.375,1,1.3,2.2,0.5,0.6,0.5,0.3,1.3,2
504,Jaden Springer,SG,19,PHI,2,0,3,0.5,0.5,1,0,0,,0.5,0.5,1,1,0,0,,0.5,0.5,1,0,0,1,0.5,0,1
529,Matisse Thybulle,SG,24,PHI,39,24,26.5,2.3,4.6,0.503,0.8,2.4,0.316,1.6,2.2,0.709,0.586,0.3,0.5,0.684,0.5,1.8,2.3,1.1,1.7,1.1,0.6,2.2,5.8
21,Deandre Ayton,C,23,PHO,34,34,29.2,7.1,11.1,0.643,0.1,0.2,0.25,7.1,10.9,0.651,0.646,2,2.8,0.726,2.7,7.6,10.3,1.5,0.8,0.8,1.6,2.3,16.4
34,Paris Bass,SF,26,PHO,2,0,3.5,1,3,0.333,0,1,0,1,2,0.5,0.333,1,1,1,1,1,2,0,0.5,0,1,1,3
49,Bismack Biyombo,C,29,PHO,16,3,18.8,3.6,5.9,0.617,0,0,,3.6,5.9,0.617,0.617,1.7,3.2,0.529,2.9,3.8,6.6,0.9,0.6,0.9,0.8,2.3,8.9
58,Devin Booker,SG,25,PHO,48,48,34,9.3,20.7,0.447,2.6,7.1,0.37,6.6,13.6,0.488,0.511,4.3,5,0.859,0.8,4.5,5.3,4.4,1,0.3,2.4,2.5,25.5
65,Mikal Bridges,SF,25,PHO,55,55,34.8,5.2,10,0.525,1.4,3.8,0.37,3.8,6.2,0.619,0.595,1.3,1.5,0.867,1,3.2,4.2,2.2,1.2,0.5,0.8,1.9,13.2
119,Jae Crowder,PF,31,PHO,45,45,28.4,3.1,7.9,0.393,1.8,5.3,0.339,1.3,2.6,0.504,0.507,0.9,1.1,0.824,0.4,4.9,5.3,1.5,1.2,0.5,0.9,2.4,8.9
253,Chandler Hutchison,SF,25,PHO,6,0,3.7,0.2,0.3,0.5,0,0,,0.2,0.3,0.5,0.5,0.3,0.3,1,0,0.8,0.8,0.3,0,0,0.7,0.2,0.7
274,Cameron Johnson,PF,25,PHO,52,10,26,4.1,8.9,0.461,2.5,5.8,0.433,1.6,3.2,0.512,0.601,1.2,1.4,0.849,0.6,3.6,4.3,1.3,0.9,0.2,0.6,1.7,11.9
296,Frank Kaminsky,C,28,PHO,9,0,20.1,4,7.3,0.545,0.6,1.7,0.333,3.4,5.7,0.608,0.583,2,2.2,0.9,1.2,3.3,4.6,1.4,0.9,0.8,0.6,1.6,10.6
359,JaVale McGee,C,34,PHO,49,14,16.3,4.3,6.5,0.658,0,0.1,0.333,4.2,6.4,0.665,0.661,1.4,2.1,0.68,2.4,4.6,7,0.7,0.3,1,1.4,2.5,10
395,Abdel Nader,SF,28,PHO,14,0,10.4,0.9,2.5,0.343,0.3,1,0.286,0.6,1.5,0.381,0.4,0.4,0.7,0.6,0.3,1.6,1.9,0.5,0.6,0.3,0.8,1.4,2.4
429,Chris Paul,PG,36,PHO,55,55,33.4,5.7,11.6,0.488,1,3.1,0.333,4.6,8.5,0.545,0.533,2.7,3.2,0.837,0.3,4.2,4.5,10.6,1.9,0.3,2.4,2.1,15.1
430,Cameron Payne,PG,27,PHO,40,0,20.4,4,9.8,0.404,1.1,3.4,0.336,2.8,6.4,0.44,0.462,1.4,1.7,0.864,0.4,2.4,2.8,3.6,0.6,0.3,1.8,1.9,10.5
431,Elfrid Payton,PG,27,PHO,35,0,11.6,1.4,3.6,0.397,0.1,0.3,0.167,1.4,3.3,0.421,0.405,0.3,0.7,0.423,0.5,1.4,1.9,2,0.5,0.1,1,0.9,3.2
489,Landry Shamet,SG,24,PHO,45,7,19.8,2.4,6.4,0.37,1.6,4.5,0.353,0.8,2,0.409,0.493,1,1.2,0.852,0.2,1.7,1.9,1.6,0.5,0.1,0.5,1.2,7.4
501,Jalen Smith,PF,21,PHO,29,4,13.2,2.2,4.7,0.46,0.3,1.3,0.231,1.9,3.4,0.551,0.493,1.4,1.8,0.769,1.9,2.9,4.8,0.2,0.2,0.6,0.8,1.8,6
